Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,63.290001,64.040001,63.270000,63.980000,53.089802,42863900
2010-01-05,63.880001,64.180000,63.490002,63.759998,52.907246,55523100
2010-01-06,63.759998,64.099998,63.540001,63.700001,52.857445,59708600
2010-01-07,63.740002,64.220001,63.139999,64.169998,53.247440,56123500
2010-01-08,63.939999,64.519997,63.799999,64.519997,53.537872,48811500
2010-01-11,64.779999,64.879997,64.010002,64.260002,53.322124,51638900
2010-01-12,63.860001,64.160004,63.259998,63.560001,52.741280,45854900
2010-01-13,63.779999,64.510002,63.230000,64.379997,53.421707,39501900
2010-01-14,64.139999,64.820000,64.019997,64.620003,53.620865,41859800
2010-01-15,64.650002,64.800003,63.270000,63.680000,52.840858,68725100
2010-01-19,63.919998,64.870003,63.919998,64.849998,53.811707,46839000
2010-01-20,64.389999,64.400002,63.189999,63.910000,53.031704,62485000
2010-01-21,63.959999,64.480003,62.639999,62.860001,52.160427,98323100
2010-01-22,62.759998,63.060001,61.180000,61.730000,51.222786,83757000
2010-01-25,62.080002,62.150002,61.330002,61.799999,51.280849,62298700
2010-01-26,61.570000,62.029999,61.139999,61.189999,50.774666,58213200
2010-01-27,60.919998,61.939999,60.709999,61.840000,51.314045,72565800
2010-01-28,61.959999,61.990002,60.220001,60.779999,50.434471,93814200
2010-01-29,61.029999,61.689999,59.970001,60.110001,49.878517,79325600
2010-02-01,60.389999,60.939999,60.160000,60.820000,50.467655,60731800
2010-02-02,60.930000,61.560001,60.619999,61.490002,51.023617,71047700
2010-02-03,61.200001,61.630001,60.590000,61.080002,50.683418,50241000
2010-02-04,60.660000,60.680000,58.990002,59.040001,48.990643,99167300
2010-02-05,59.169998,59.330002,58.000000,59.270000,49.181499,106752200
2010-02-08,59.080002,59.599998,58.619999,58.680000,48.691917,61579200
2010-02-09,59.380001,59.930000,58.750000,59.490002,49.364040,91986700
2010-02-10,59.310001,59.779999,58.689999,59.630001,49.480206,55715500
2010-02-11,59.459999,60.619999,59.000000,60.580002,50.268513,51969700
2010-02-12,60.000000,61.099998,59.810001,61.020000,50.633606,65909800
2010-02-16,61.660000,62.110001,61.080002,62.049999,51.488297,50057600
2010-02-17,62.360001,62.610001,61.990002,62.470001,51.836807,50459400
2010-02-18,62.470001,63.000000,62.250000,62.980000,52.260010,43072800
2010-02-19,62.740002,63.380001,62.610001,63.060001,52.326378,56840800
2010-02-22,63.419998,63.450001,63.020000,63.250000,52.484039,45344900
2010-02-23,63.160000,63.250000,62.330002,62.509998,51.869999,58965400
2010-02-24,62.740002,63.349998,62.549999,63.040001,52.309799,50476000
2010-02-25,62.180000,63.119999,61.980000,63.060001,52.326378,51949700
2010-02-26,63.160000,63.209999,62.459999,62.799999,52.110638,60093900
2010-03-01,63.259998,64.320000,63.259998,64.260002,53.322124,70967800
2010-03-02,64.500000,65.150002,64.400002,64.750000,53.728718,55605300
2010-03-03,65.070000,65.489998,64.779999,65.120003,54.035748,56207500
2010-03-04,65.139999,65.370003,64.870003,65.290001,54.176819,47174200
2010-03-05,65.709999,66.720001,65.500000,66.620003,55.280437,52293900
2010-03-08,66.639999,66.930000,66.519997,66.739998,55.379986,46046400
2010-03-09,66.550003,67.489998,66.529999,66.980003,55.579159,70685800
2010-03-10,67.040001,67.900002,67.010002,67.550003,56.052132,73655200
2010-03-11,67.139999,67.860001,66.900002,67.750000,56.218086,59964100
2010-03-12,68.099998,68.129997,67.260002,67.720001,56.193192,61862000
2010-03-15,67.680000,67.809998,67.000000,67.489998,56.002342,49862700
2010-03-16,67.830002,68.099998,67.339996,68.070000,56.483608,52874400
2010-03-17,68.220001,68.879997,68.199997,68.470001,56.815544,53589100
2010-03-18,68.440002,68.779999,68.139999,68.260002,56.641277,71527500
2010-03-19,67.410004,68.510002,67.160004,67.410004,55.935955,80546500
2010-03-22,66.930000,68.510002,66.779999,68.360001,56.724266,56679400
2010-03-23,68.419998,69.250000,68.110001,69.230003,57.446198,61187700
2010-03-24,68.680000,68.970001,68.250000,68.269997,56.790680,59664500
2010-03-25,68.870003,69.360001,67.790001,67.839996,56.432987,66977000
2010-03-26,68.120003,68.570000,67.559998,67.809998,56.408009,58114700
2010-03-29,68.110001,68.400002,67.809998,68.180000,56.715790,38646400
2010-03-30,68.290001,68.739998,67.870003,68.389999,56.890499,35773100
2010-03-31,68.129997,68.809998,67.790001,67.800003,56.399708,59821600
2010-04-01,68.330002,68.690002,67.389999,68.430000,56.923767,58838700
2010-04-05,68.610001,69.760002,68.440002,69.709999,57.988548,52020600
2010-04-06,69.470001,70.290001,69.330002,70.120003,58.329609,50203600
2010-04-07,70.040001,70.309998,69.449997,69.900002,58.146603,71418200
2010-04-08,69.699997,70.199997,69.160004,69.830002,58.088360,54603600
2010-04-09,69.940002,70.260002,69.500000,70.250000,58.437756,53070100
2010-04-12,70.279999,70.680000,70.120003,70.540001,58.678997,49301000
2010-04-13,70.389999,70.739998,69.940002,70.699997,58.812054,42151000
2010-04-14,71.110001,72.209999,70.989998,72.209999,60.068184,62041600
2010-04-15,72.180000,72.580002,72.089996,72.430000,60.251190,55141800
2010-04-16,72.239998,72.470001,70.940002,71.459999,59.444290,93241600
2010-04-19,71.059998,71.769997,69.779999,71.110001,59.153156,85284600
2010-04-20,71.489998,72.129997,71.180000,72.080002,59.960022,50736600
2010-04-21,72.199997,72.720001,71.919998,72.580002,60.375946,60382500
2010-04-22,71.839996,73.489998,71.459999,73.349998,61.016457,79289500
2010-04-23,73.489998,74.209999,72.639999,74.129997,61.665340,66271100
2010-04-26,74.169998,74.660004,73.830002,73.849998,61.432426,62710000
2010-04-27,73.550003,74.239998,72.019997,72.160004,60.026592,101050200
2010-04-28,72.570000,72.779999,71.919998,72.279999,60.126411,79762700
2010-04-29,72.820000,73.839996,72.379997,73.809998,61.399136,68869600
2010-04-30,73.800003,73.930000,71.570000,71.650002,59.602341,88759100
2010-05-03,72.099998,73.309998,72.059998,73.260002,60.941620,53775400
2010-05-04,72.190002,72.199997,70.529999,70.959999,59.028362,105727600
2010-05-05,70.379997,70.949997,69.389999,69.919998,58.163231,110340400
2010-05-06,69.419998,70.190002,63.360001,67.300003,55.983768,195388200
2010-05-07,66.709999,67.620003,64.639999,65.360001,54.369972,189573100
2010-05-10,68.550003,69.059998,67.699997,69.029999,57.422863,107703400
2010-05-11,68.209999,70.519997,67.980003,69.489998,57.805534,100027800
2010-05-12,69.849998,71.699997,69.790001,71.620003,59.577393,84618400
2010-05-13,71.459999,72.099998,70.589996,70.930000,59.003395,78553600
2010-05-14,70.470001,70.500000,68.620003,69.559998,57.863762,86134200
2010-05-17,70.000000,70.570000,67.750000,69.690002,57.971893,78565900
2010-05-18,70.599998,70.800003,68.129997,68.349998,56.857212,87146900
2010-05-19,68.040001,68.800003,66.580002,67.540001,56.183418,107292800
2010-05-20,65.769997,66.120003,64.080002,64.120003,53.338478,166841100
2010-05-21,63.070000,65.639999,62.759998,65.070000,54.128742,139644500
2010-05-24,64.800003,65.410004,64.139999,64.199997,53.405037,75991800
2010-05-25,62.799999,64.239998,61.709999,64.190002,53.396702,110830700
2010-05-26,64.440002,65.949997,63.980000,64.349998,53.529804,104172900
2010-05-27,65.959999,67.139999,64.349998,67.110001,55.825706,86856200
2010-05-28,66.910004,67.169998,65.730003,66.250000,55.110325,92369800
2010-06-01,65.599998,66.470001,64.190002,64.239998,53.438290,88420300
2010-06-02,64.629997,66.099998,64.019997,66.070000,54.960602,61553800
2010-06-03,66.199997,67.089996,65.870003,66.919998,55.667660,74864100
2010-06-04,65.110001,65.699997,63.369999,63.560001,52.872639,105547200
2010-06-07,63.840000,64.110001,61.860001,61.919998,51.508408,88434200
2010-06-08,62.110001,62.599998,60.700001,61.889999,51.483440,129072000
